Function,rlde_best,rlde_best_rank,de_best,de_best_rank,jade_best,jade_best_rank,lshade_best,lshade_best_rank,shade_best,shade_best_rank
F1,1.08e-22,2,1.20e-21,3,0.00e+00,1,0.00e+00,1,0.00e+00,1
F2,0.00e+00,1,0.00e+00,1,0.00e+00,1,0.00e+00,1,0.00e+00,1
F3,3.33e-03,3,1.43e-20,2,0.00e+00,1,0.00e+00,1,0.00e+00,1
F4,3.98e+00,4,1.77e+01,5,1.42e+00,3,3.14e-02,1,1.34e+00,2
F5,7.56e-33,2,0.00e+00,1,0.00e+00,1,0.00e+00,1,0.00e+00,1
F6,6.14e+02,4,6.21e+02,5,6.13e+02,3,6.11e+02,1,6.12e+02,2
F7,1.00e+01,1,3.80e+01,4,2.80e+01,3,1.40e+01,2,4.19e+01,5
F8,1.50e-32,1,1.16e+00,2,2.07e+00,3,1.50e-32,1,2.16e+00,4
F9,1.87e+01,3,4.37e-01,1,4.37e+02,5,4.56e-01,2,1.23e+02,4
F10,9.95e-01,4,3.19e-07,2,1.48e+00,5,0.00e+00,1,9.37e-01,3
F11,8.68e+00,5,5.30e-12,4,1.16e-19,2,8.58e-23,1,1.16e-15,3
F12,2.98e+00,2,6.03e+00,5,4.09e+00,3,1.58e-03,1,4.45e+00,4
F13,1.24e+01,4,1.54e+01,5,6.95e-01,2,5.64e-15,1,5.77e+00,3
F14,1.35e-01,4,9.22e-04,2,3.98e-02,3,7.56e-04,1,2.53e-01,5
F15,1.96e-02,3,4.89e-03,1,8.34e-02,5,6.02e-03,2,4.40e-02,4
F16,2.21e+01,5,1.21e+00,1,8.87e+00,3,3.25e+00,2,1.69e+01,4
F17,9.11e+00,5,6.93e-04,2,2.03e-03,3,6.15e-05,1,2.27e-02,4
F18,1.95e-01,2,4.49e-01,3,4.95e-01,4,9.50e-02,1,7.25e-01,5
F19,1.30e+00,4,1.85e+00,5,7.93e-01,2,6.91e-01,1,8.43e-01,3
F20,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.00e+02,1
F21,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.00e+02,1
F22,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.00e+02,1
F23,1.00e+02,2,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.00e+02,1
F24,4.76e+02,4,4.80e+02,5,4.76e+02,3,4.76e+02,1,4.76e+02,2
F25,4.58e+02,2,9.74e-26,1,9.74e-26,1,9.74e-26,1,9.74e-26,1
F26,3.90e+02,2,3.90e+02,1,3.90e+02,1,3.90e+02,1,3.90e+02,1
F27,4.44e-15,1,4.44e-15,1,4.44e-15,1,4.44e-15,1,4.44e-15,1
F28,9.94e+02,5,9.79e+02,3,5.67e+00,2,9.80e+02,4,5.12e+00,1
F29,4.73e+03,5,1.38e+03,4,7.42e+00,2,1.38e+03,3,5.43e+00,1
