Function,rlde_std,rlde_std_rank,de_std,de_std_rank,jade_std,jade_std_rank,lshade_std,lshade_std_rank,shade_std,shade_std_rank
F1,5.58e-15,4,1.47e-20,2,3.09e-15,3,7.26e+08,5,0.00e+00,1
F2,2.29e-26,2,0.00e+00,1,0.00e+00,1,1.06e+03,3,0.00e+00,1
F3,1.99e+00,4,1.59e+00,1,1.95e+00,3,1.69e+00,2,1.95e+00,3
F4,4.05e+00,5,3.26e+00,4,1.03e+00,3,7.56e-01,1,8.74e-01,2
F5,3.27e-05,3,1.35e-37,2,0.00e+00,1,0.00e+00,1,0.00e+00,1
F6,3.39e+00,4,3.89e+00,5,1.05e+00,3,2.70e-01,1,7.19e-01,2
F7,4.73e+00,1,7.87e+00,2,1.30e+01,4,1.39e+01,5,9.96e+00,3
F8,6.35e-29,1,3.19e-01,4,6.41e-02,3,7.60e-01,5,4.58e-02,2
F9,1.91e+02,1,3.23e+02,2,3.71e+02,3,4.91e+02,4,4.95e+02,5
F10,6.16e+00,3,5.08e-01,1,1.83e+01,4,2.86e+00,2,2.64e+01,5
F11,6.09e+03,5,9.81e-02,2,5.43e+01,4,5.42e+01,3,7.76e-02,1
F12,5.29e+00,4,5.68e+00,5,9.13e-01,2,1.26e+00,3,5.68e-01,1
F13,6.30e+00,3,3.06e+00,1,7.55e+00,4,8.08e+00,5,3.76e+00,2
F14,1.36e+02,4,1.48e-01,1,2.26e-01,3,1.10e+06,5,1.63e-01,2
F15,1.65e+02,3,1.63e-01,1,8.85e+01,2,1.48e+03,5,1.85e+02,4
F16,8.83e+01,4,3.97e+01,2,5.18e+00,1,8.11e+01,3,1.74e+02,5
F17,1.17e+01,4,1.23e-01,1,8.74e+00,2,2.46e+04,5,9.86e+00,3
F18,7.67e-01,5,2.50e-01,2,2.80e-01,4,1.11e-01,1,2.72e-01,3
F19,2.04e+01,4,7.06e+00,3,7.07e-01,2,2.13e+01,5,3.87e-01,1
F20,4.29e-14,1,3.24e+01,2,4.97e+01,3,4.04e+02,5,5.17e+01,4
F21,1.41e+00,2,7.78e-15,1,1.91e+02,4,6.29e+00,3,3.80e+02,5
F22,4.42e+01,2,1.80e+01,1,4.82e+01,4,3.86e+02,5,4.58e+01,3
F23,2.71e+01,3,3.73e+01,5,0.00e+00,1,3.40e+01,4,1.80e+01,2
F24,1.08e+01,3,4.88e+00,1,1.38e+01,4,8.52e+00,2,2.64e+01,5
F25,3.07e+00,1,8.39e+01,3,8.39e+01,2,2.10e+02,4,2.50e+02,5
F26,2.73e+00,2,2.63e+00,1,9.91e+01,5,9.37e+00,3,7.32e+01,4
F27,1.27e+02,2,0.00e+00,1,0.00e+00,1,2.24e+02,3,0.00e+00,1
F28,2.46e+03,4,2.56e+01,1,1.86e+02,2,3.81e+04,5,3.04e+02,3
F29,8.80e+03,4,5.34e+02,1,5.98e+02,2,1.40e+07,5,7.29e+02,3
