fps,Fitness,Exploitation_Rate
0,21365016489.580223,0.03745137
1,21365016489.580223,0.03745137
2,21365016489.580223,0.03745137
3,21365016489.580223,0.03745137
4,21365016489.580223,0.03745137
5,21365016489.580223,0.03745137
6,21365016489.580223,0.03745137
7,21365016489.580223,0.03745137
8,21365016489.580223,0.03745137
9,21365016489.580223,0.03745137
10,21365016489.580223,0.03745137
11,21365016489.580223,0.03745137
12,21365016489.580223,0.03745137
13,21365016489.580223,0.03745137
14,21365016489.580223,0.03745137
15,21365016489.580223,0.03745137
16,21365016489.580223,0.03745137
17,21365016489.580223,0.03745137
18,21365016489.580223,0.03745137
19,21365016489.580223,0.03745137
20,21365016489.580223,0.03745137
21,21365016489.580223,0.03745137
22,21365016489.580223,0.03745137
23,21365016489.580223,0.03745137
24,21365016489.580223,0.03745137
25,21365016489.580223,0.03745137
26,21365016489.580223,0.03745137
27,21365016489.580223,0.03745137
28,21365016489.580223,0.03745137
29,21365016489.580223,0.03745137
30,21365016489.580223,0.03745137
31,21365016489.580223,0.03745137
32,21365016489.580223,0.03745137
33,21365016489.580223,0.03745137
34,21365016489.580223,0.03745137
35,21365016489.580223,0.03745137
36,21365016489.580223,0.03745137
37,21365016489.580223,0.03745137
38,21365016489.580223,0.03745137
39,21365016489.580223,0.03745137
40,21365016489.580223,0.03745137
41,21365016489.580223,0.03745137
42,21365016489.580223,0.03745137
43,21365016489.580223,0.03745137
44,21365016489.580223,0.03745137
45,21365016489.580223,0.03745137
46,21365016489.580223,0.03745137
47,21365016489.580223,0.03745137
48,21365016489.580223,0.03745137
49,21365016489.580223,0.03745137
50,21365016489.580223,0.033791807
51,21365016489.580223,0.033791807
52,21365016489.580223,0.033791807
53,21365016489.580223,0.033791807
54,21365016489.580223,0.033791807
55,21365016489.580223,0.033791807
56,21365016489.580223,0.033791807
57,21365016489.580223,0.033791807
58,21365016489.580223,0.033791807
59,21365016489.580223,0.033791807
60,21365016489.580223,0.033791807
61,21365016489.580223,0.033791807
62,21365016489.580223,0.033791807
63,21365016489.580223,0.033791807
64,21365016489.580223,0.033791807
65,21365016489.580223,0.033791807
66,21365016489.580223,0.033791807
67,21365016489.580223,0.033791807
68,21365016489.580223,0.033791807
69,21365016489.580223,0.033791807
70,21365016489.580223,0.033791807
71,21365016489.580223,0.033791807
72,21365016489.580223,0.033791807
73,21365016489.580223,0.033791807
74,21365016489.580223,0.033791807
75,21365016489.580223,0.033791807
76,21365016489.580223,0.033791807
77,21365016489.580223,0.033791807
78,21365016489.580223,0.033791807
79,21365016489.580223,0.033791807
80,21365016489.580223,0.033791807
81,21365016489.580223,0.033791807
82,21365016489.580223,0.033791807
83,21365016489.580223,0.033791807
84,21365016489.580223,0.033791807
85,21365016489.580223,0.033791807
86,21365016489.580223,0.033791807
87,21365016489.580223,0.033791807
88,21365016489.580223,0.033791807
89,21365016489.580223,0.033791807
90,21365016489.580223,0.033791807
91,21365016489.580223,0.033791807
92,21365016489.580223,0.033791807
93,21365016489.580223,0.033791807
94,21365016489.580223,0.033791807
95,21365016489.580223,0.033791807
96,21365016489.580223,0.033791807
97,21365016489.580223,0.033791807
98,21365016489.580223,0.033791807
99,21365016489.580223,0.033791807
