fps,Fitness,Exploitation_Rate
0,22406952773.82886,0.2528369
1,22406952773.82886,0.2528369
2,22406952773.82886,0.2528369
3,22406952773.82886,0.2528369
4,22406952773.82886,0.2528369
5,22406952773.82886,0.2528369
6,18264550073.16119,0.2528369
7,18264550073.16119,0.2528369
8,18264550073.16119,0.2528369
9,18264550073.16119,0.2528369
10,18264550073.16119,0.2528369
11,18264550073.16119,0.2528369
12,18264550073.16119,0.2528369
13,18264550073.16119,0.2528369
14,18264550073.16119,0.2528369
15,18264550073.16119,0.2528369
16,18264550073.16119,0.2528369
17,18264550073.16119,0.2528369
18,18264550073.16119,0.2528369
19,18264550073.16119,0.2528369
20,18264550073.16119,0.2528369
21,18264550073.16119,0.2528369
22,18264550073.16119,0.2528369
23,18264550073.16119,0.2528369
24,18264550073.16119,0.2528369
25,18264550073.16119,0.2528369
26,18264550073.16119,0.2528369
27,18264550073.16119,0.2528369
28,18264550073.16119,0.2528369
29,18264550073.16119,0.2528369
30,18264550073.16119,0.2528369
31,18264550073.16119,0.2528369
32,18264550073.16119,0.2528369
33,18264550073.16119,0.2528369
34,18264550073.16119,0.2528369
35,18264550073.16119,0.2528369
36,18264550073.16119,0.2528369
37,18264550073.16119,0.2528369
38,18264550073.16119,0.2528369
39,18264550073.16119,0.2528369
40,18264550073.16119,0.2528369
41,18264550073.16119,0.2528369
42,18264550073.16119,0.2528369
43,18264550073.16119,0.2528369
44,18264550073.16119,0.2528369
45,18264550073.16119,0.2528369
46,18264550073.16119,0.2528369
47,18264550073.16119,0.2528369
48,18264550073.16119,0.2528369
49,18264550073.16119,0.2528369
50,18264550073.16119,0.34706488
51,18264550073.16119,0.34706488
52,18264550073.16119,0.34706488
53,18264550073.16119,0.34706488
54,18264550073.16119,0.34706488
55,18264550073.16119,0.34706488
56,18264550073.16119,0.34706488
57,18264550073.16119,0.34706488
58,18264550073.16119,0.34706488
59,18264550073.16119,0.34706488
60,18264550073.16119,0.34706488
61,18264550073.16119,0.34706488
62,18264550073.16119,0.34706488
63,18264550073.16119,0.34706488
64,18264550073.16119,0.34706488
65,18264550073.16119,0.34706488
66,18264550073.16119,0.34706488
67,18264550073.16119,0.34706488
68,18264550073.16119,0.34706488
69,18264550073.16119,0.34706488
70,18264550073.16119,0.34706488
71,18264550073.16119,0.34706488
72,18264550073.16119,0.34706488
73,18264550073.16119,0.34706488
74,18264550073.16119,0.34706488
75,18264550073.16119,0.34706488
76,18264550073.16119,0.34706488
77,18264550073.16119,0.34706488
78,18264550073.16119,0.34706488
79,18264550073.16119,0.34706488
80,18264550073.16119,0.34706488
81,18264550073.16119,0.34706488
82,18264550073.16119,0.34706488
83,18264550073.16119,0.34706488
84,18264550073.16119,0.34706488
85,18264550073.16119,0.34706488
86,18264550073.16119,0.34706488
87,18264550073.16119,0.34706488
88,18264550073.16119,0.34706488
89,18264550073.16119,0.34706488
90,18264550073.16119,0.34706488
91,18264550073.16119,0.34706488
92,18264550073.16119,0.34706488
93,18264550073.16119,0.34706488
94,18264550073.16119,0.34706488
95,18264550073.16119,0.34706488
96,18264550073.16119,0.34706488
97,18264550073.16119,0.34706488
98,9551499368.314817,0.34706488
99,9551499368.314817,0.34706488
100,9551499368.314817,0.35252064
101,9551499368.314817,0.35252064
102,9551499368.314817,0.35252064
103,9551499368.314817,0.35252064
104,9551499368.314817,0.35252064
105,9551499368.314817,0.35252064
106,9551499368.314817,0.35252064
107,9551499368.314817,0.35252064
108,9551499368.314817,0.35252064
109,8135034137.137487,0.35252064
110,8135034137.137487,0.35252064
111,8135034137.137487,0.35252064
112,8135034137.137487,0.35252064
113,8135034137.137487,0.35252064
114,8135034137.137487,0.35252064
115,8135034137.137487,0.35252064
116,8135034137.137487,0.35252064
117,8135034137.137487,0.35252064
118,8135034137.137487,0.35252064
119,8135034137.137487,0.35252064
120,8135034137.137487,0.35252064
121,8135034137.137487,0.35252064
122,8135034137.137487,0.35252064
123,8135034137.137487,0.35252064
124,8135034137.137487,0.35252064
125,8135034137.137487,0.35252064
126,8135034137.137487,0.35252064
127,8135034137.137487,0.35252064
128,8135034137.137487,0.35252064
129,8135034137.137487,0.35252064
130,8135034137.137487,0.35252064
131,8135034137.137487,0.35252064
132,8135034137.137487,0.35252064
133,8135034137.137487,0.35252064
134,8135034137.137487,0.35252064
135,8135034137.137487,0.35252064
136,8135034137.137487,0.35252064
137,8135034137.137487,0.35252064
138,8135034137.137487,0.35252064
139,8135034137.137487,0.35252064
140,8135034137.137487,0.35252064
141,8135034137.137487,0.35252064
142,8135034137.137487,0.35252064
143,8135034137.137487,0.35252064
144,8135034137.137487,0.35252064
145,8135034137.137487,0.35252064
146,8135034137.137487,0.35252064
147,8135034137.137487,0.35252064
148,8135034137.137487,0.35252064
149,8135034137.137487,0.35252064
150,8135034137.137487,0.35325736
151,8135034137.137487,0.35325736
152,8135034137.137487,0.35325736
153,8135034137.137487,0.35325736
154,8135034137.137487,0.35325736
155,8135034137.137487,0.35325736
156,8135034137.137487,0.35325736
157,8135034137.137487,0.35325736
158,8135034137.137487,0.35325736
159,8135034137.137487,0.35325736
160,8135034137.137487,0.35325736
161,8135034137.137487,0.35325736
162,8135034137.137487,0.35325736
163,8135034137.137487,0.35325736
164,8135034137.137487,0.35325736
165,8135034137.137487,0.35325736
166,8135034137.137487,0.35325736
167,8135034137.137487,0.35325736
168,8135034137.137487,0.35325736
169,8135034137.137487,0.35325736
170,8135034137.137487,0.35325736
171,8135034137.137487,0.35325736
172,8135034137.137487,0.35325736
173,8135034137.137487,0.35325736
174,8135034137.137487,0.35325736
175,8135034137.137487,0.35325736
176,8135034137.137487,0.35325736
177,8135034137.137487,0.35325736
178,8135034137.137487,0.35325736
179,8135034137.137487,0.35325736
180,8135034137.137487,0.35325736
181,8135034137.137487,0.35325736
182,8135034137.137487,0.35325736
183,8135034137.137487,0.35325736
184,8135034137.137487,0.35325736
185,8135034137.137487,0.35325736
186,8135034137.137487,0.35325736
187,8135034137.137487,0.35325736
188,8135034137.137487,0.35325736
189,8135034137.137487,0.35325736
190,8135034137.137487,0.35325736
191,8135034137.137487,0.35325736
192,8135034137.137487,0.35325736
193,8135034137.137487,0.35325736
194,8135034137.137487,0.35325736
195,8135034137.137487,0.35325736
196,8135034137.137487,0.35325736
197,8135034137.137487,0.35325736
198,7871994984.625135,0.35325736
199,7871994984.625135,0.35325736
200,7871994984.625135,0.35530517
201,7871994984.625135,0.35530517
202,7871994984.625135,0.35530517
203,7871994984.625135,0.35530517
204,7871994984.625135,0.35530517
205,7871994984.625135,0.35530517
206,7871994984.625135,0.35530517
207,7871994984.625135,0.35530517
208,7871994984.625135,0.35530517
209,7871994984.625135,0.35530517
210,7871994984.625135,0.35530517
211,7871994984.625135,0.35530517
212,7871994984.625135,0.35530517
