fps,Fitness,Exploitation_Rate
0,96147734.17575575,0.0
1,96147734.17575575,0.0
2,96147734.17575575,0.0
3,96147734.17575575,0.0
4,96147734.17575575,0.0
5,96147734.17575575,0.0
6,96147734.17575575,0.0
7,96147734.17575575,0.0
8,96147734.17575575,0.0
9,96147734.17575575,0.0
10,96147734.17575575,0.0
11,96147734.17575575,0.0
12,96147734.17575575,0.0
13,96147734.17575575,0.0
14,96147734.17575575,0.0
15,96147734.17575575,0.0
16,96147734.17575575,0.0
17,96147734.17575575,0.0
18,96147734.17575575,0.0
19,96147734.17575575,0.0
20,96147734.17575575,0.0
21,96147734.17575575,0.0
22,96147734.17575575,0.0
23,96147734.17575575,0.0
24,96147734.17575575,0.0
25,96147734.17575575,0.0
26,96147734.17575575,0.0
27,96147734.17575575,0.0
28,96147734.17575575,0.0
29,96147734.17575575,0.0
30,96147734.17575575,0.0
31,96147734.17575575,0.0
32,96147734.17575575,0.0
33,51154991.61906265,0.0
34,51154991.61906265,0.0
35,51154991.61906265,0.0
36,51154991.61906265,0.0
37,51154991.61906265,0.0
38,51154991.61906265,0.0
39,51154991.61906265,0.0
40,51154991.61906265,0.0
41,51154991.61906265,0.0
42,51154991.61906265,0.0
43,51154991.61906265,0.0
44,51154991.61906265,0.0
45,51154991.61906265,0.0
46,51154991.61906265,0.0
47,51154991.61906265,0.0
48,51154991.61906265,0.0
49,51154991.61906265,0.0
50,51154991.61906265,0.0
51,51154991.61906265,0.0
52,51154991.61906265,0.0
53,51154991.61906265,0.0
54,51154991.61906265,0.0
55,51154991.61906265,0.0
56,51154991.61906265,0.0
57,51154991.61906265,0.0
58,51154991.61906265,0.0
59,51154991.61906265,0.0
60,51154991.61906265,0.0
61,51154991.61906265,0.0
62,51154991.61906265,0.0
63,51154991.61906265,0.0
64,51154991.61906265,0.0
65,51154991.61906265,0.0
66,51154991.61906265,0.0
67,51154991.61906265,0.0
68,51154991.61906265,0.0
69,51154991.61906265,0.0
70,51154991.61906265,0.0
71,51154991.61906265,0.0
72,51154991.61906265,0.0
73,51154991.61906265,0.0
74,51154991.61906265,0.0
75,51154991.61906265,0.0
76,51154991.61906265,0.0
77,51154991.61906265,0.0
78,51154991.61906265,0.0
79,51154991.61906265,0.0
80,51154991.61906265,0.0
81,51154991.61906265,0.0
82,51154991.61906265,0.0
83,51154991.61906265,0.0
84,51154991.61906265,0.0
85,51154991.61906265,0.0
86,51154991.61906265,0.0
87,51154991.61906265,0.0
88,51154991.61906265,0.0
89,51154991.61906265,0.0
90,51154991.61906265,0.0
91,51154991.61906265,0.0
92,51154991.61906265,0.0
93,51154991.61906265,0.0
94,51154991.61906265,0.0
95,51154991.61906265,0.0
96,51154991.61906265,0.0
97,51154991.61906265,0.0
98,51154991.61906265,0.0
99,51154991.61906265,0.0
100,51154991.61906265,0.0
101,51154991.61906265,0.0
102,51154991.61906265,0.0
103,51154991.61906265,0.0
104,51154991.61906265,0.0
105,51154991.61906265,0.0
106,51154991.61906265,0.0
107,51154991.61906265,0.0
108,51154991.61906265,0.0
109,51154991.61906265,0.0
110,51154991.61906265,0.0
111,51154991.61906265,0.0
112,51154991.61906265,0.0
113,51154991.61906265,0.0
114,51154991.61906265,0.0
115,51154991.61906265,0.0
116,51154991.61906265,0.0
117,51154991.61906265,0.0
118,51154991.61906265,0.0
119,51154991.61906265,0.0
120,51154991.61906265,0.0
121,51154991.61906265,0.0
122,51154991.61906265,0.0
123,51154991.61906265,0.0
124,51154991.61906265,0.0
125,51154991.61906265,0.0
126,51154991.61906265,0.0
127,51154991.61906265,0.0
128,51154991.61906265,0.0
129,51154991.61906265,0.0
130,51154991.61906265,0.0
131,51154991.61906265,0.0
132,51154991.61906265,0.0
133,49838048.078079365,0.0
134,49838048.078079365,0.0
135,43562502.16400742,0.0
136,43562502.16400742,0.0
137,43562502.16400742,0.0
138,43562502.16400742,0.0
139,43562502.16400742,0.0
140,43562502.16400742,0.0
141,43562502.16400742,0.0
142,43562502.16400742,0.0
143,43562502.16400742,0.0
144,43562502.16400742,0.0
145,43562502.16400742,0.0
146,43562502.16400742,0.0
147,43562502.16400742,0.0
148,43562502.16400742,0.0
149,43562502.16400742,0.0
150,43562502.16400742,0.0
151,43562502.16400742,0.0
152,43562502.16400742,0.0
153,43562502.16400742,0.0
154,43562502.16400742,0.0
155,43562502.16400742,0.0
156,43562502.16400742,0.0
157,43562502.16400742,0.0
158,43562502.16400742,0.0
159,43562502.16400742,0.0
160,43562502.16400742,0.0
161,43562502.16400742,0.0
162,43562502.16400742,0.0
163,43562502.16400742,0.0
164,43562502.16400742,0.0
165,43562502.16400742,0.0
166,43562502.16400742,0.0
167,43562502.16400742,0.0
168,43562502.16400742,0.0
169,43562502.16400742,0.0
170,43562502.16400742,0.0
171,43562502.16400742,0.0
172,43562502.16400742,0.0
173,43562502.16400742,0.0
174,43562502.16400742,0.0
175,43562502.16400742,0.0
176,43562502.16400742,0.0
177,43562502.16400742,0.0
178,43562502.16400742,0.0
179,43562502.16400742,0.0
180,43562502.16400742,0.0
181,43562502.16400742,0.0
182,43562502.16400742,0.0
183,43562502.16400742,0.0
184,43562502.16400742,0.0
185,43562502.16400742,0.0
186,43562502.16400742,0.0
187,43562502.16400742,0.0
188,43562502.16400742,0.0
189,43562502.16400742,0.0
190,43562502.16400742,0.0
191,43562502.16400742,0.0
192,43562502.16400742,0.0
193,43562502.16400742,0.0
194,43562502.16400742,0.0
195,43562502.16400742,0.0
196,43562502.16400742,0.0
197,43562502.16400742,0.0
198,43562502.16400742,0.0
199,43562502.16400742,0.0
200,43562502.16400742,0.0
201,43562502.16400742,0.0
202,43562502.16400742,0.0
203,43562502.16400742,0.0
204,43562502.16400742,0.0
205,43562502.16400742,0.0
206,43562502.16400742,0.0
207,43562502.16400742,0.0
208,43562502.16400742,0.0
209,43562502.16400742,0.0
210,43562502.16400742,0.0
211,43562502.16400742,0.0
212,43562502.16400742,0.0
213,43562502.16400742,0.0
214,43562502.16400742,0.0
215,43562502.16400742,0.0
216,43562502.16400742,0.0
217,43562502.16400742,0.0
218,43562502.16400742,0.0
219,43562502.16400742,0.0
220,43562502.16400742,0.0
221,43562502.16400742,0.0
222,43562502.16400742,0.0
223,43562502.16400742,0.0
224,43562502.16400742,0.0
225,43562502.16400742,0.0
226,43562502.16400742,0.0
227,43562502.16400742,0.0
228,43562502.16400742,0.0
229,43562502.16400742,0.0
230,43562502.16400742,0.0
231,43562502.16400742,0.0
232,43562502.16400742,0.0
233,43562502.16400742,0.0
234,43562502.16400742,0.0
235,43562502.16400742,0.0
236,43562502.16400742,0.0
237,43562502.16400742,0.0
238,43562502.16400742,0.0
239,43562502.16400742,0.0
240,43562502.16400742,0.0
241,43562502.16400742,0.0
242,43562502.16400742,0.0
243,43562502.16400742,0.0
244,43562502.16400742,0.0
245,43562502.16400742,0.0
246,43562502.16400742,0.0
247,43562502.16400742,0.0
248,43562502.16400742,0.0
249,43562502.16400742,0.0
250,43562502.16400742,0.0
251,43562502.16400742,0.0
252,43562502.16400742,0.0
253,43562502.16400742,0.0
254,43562502.16400742,0.0
255,43562502.16400742,0.0
256,43562502.16400742,0.0
257,43562502.16400742,0.0
258,43562502.16400742,0.0
259,43562502.16400742,0.0
260,43562502.16400742,0.0
261,43562502.16400742,0.0
262,43562502.16400742,0.0
263,43562502.16400742,0.0
264,43562502.16400742,0.0
265,43562502.16400742,0.0
266,43562502.16400742,0.0
267,43562502.16400742,0.0
268,43562502.16400742,0.0
269,43562502.16400742,0.0
270,43562502.16400742,0.0
271,43562502.16400742,0.0
272,43562502.16400742,0.0
273,43562502.16400742,0.0
274,43562502.16400742,0.0
275,43562502.16400742,0.0
276,43562502.16400742,0.0
277,43562502.16400742,0.0
278,43562502.16400742,0.0
279,43562502.16400742,0.0
280,43562502.16400742,0.0
281,43562502.16400742,0.0
282,43562502.16400742,0.0
283,43562502.16400742,0.0
284,43562502.16400742,0.0
285,43562502.16400742,0.0
286,43562502.16400742,0.0
287,43562502.16400742,0.0
288,43562502.16400742,0.0
289,43562502.16400742,0.0
290,43562502.16400742,0.0
291,43562502.16400742,0.0
292,43562502.16400742,0.0
293,43562502.16400742,0.0
294,43562502.16400742,0.0
295,43562502.16400742,0.0
296,43562502.16400742,0.0
297,43562502.16400742,0.0
298,43562502.16400742,0.0
299,43562502.16400742,0.0
300,43562502.16400742,0.21576914
301,43562502.16400742,0.21576914
302,43562502.16400742,0.21576914
303,43562502.16400742,0.21576914
304,43562502.16400742,0.21576914
305,43562502.16400742,0.21576914
306,43562502.16400742,0.21576914
307,43562502.16400742,0.21576914
308,43562502.16400742,0.21576914
309,43562502.16400742,0.21576914
310,43562502.16400742,0.21576914
311,43562502.16400742,0.21576914
312,43562502.16400742,0.21576914
313,43562502.16400742,0.21576914
314,43562502.16400742,0.21576914
315,43562502.16400742,0.21576914
316,43562502.16400742,0.21576914
317,43562502.16400742,0.21576914
318,43562502.16400742,0.21576914
319,43562502.16400742,0.21576914
320,43562502.16400742,0.21576914
321,43562502.16400742,0.21576914
322,43562502.16400742,0.21576914
323,43562502.16400742,0.21576914
324,43562502.16400742,0.21576914
325,43562502.16400742,0.21576914
326,43562502.16400742,0.21576914
327,43562502.16400742,0.21576914
328,43562502.16400742,0.21576914
329,43562502.16400742,0.21576914
330,43562502.16400742,0.21576914
331,43562502.16400742,0.21576914
332,43562502.16400742,0.21576914
333,25255400.483753666,0.21576914
334,25255400.483753666,0.21576914
335,25255400.483753666,0.21576914
336,25255400.483753666,0.21576914
337,25255400.483753666,0.21576914
338,25255400.483753666,0.21576914
339,25255400.483753666,0.21576914
340,25255400.483753666,0.21576914
341,25255400.483753666,0.21576914
342,25255400.483753666,0.21576914
343,25255400.483753666,0.21576914
344,25255400.483753666,0.21576914
345,25255400.483753666,0.21576914
346,25255400.483753666,0.21576914
347,25255400.483753666,0.21576914
348,25255400.483753666,0.21576914
349,25255400.483753666,0.21576914
350,25255400.483753666,0.0
351,25255400.483753666,0.0
352,25255400.483753666,0.0
353,25255400.483753666,0.0
354,25255400.483753666,0.0
355,25255400.483753666,0.0
356,25255400.483753666,0.0
357,25255400.483753666,0.0
358,25255400.483753666,0.0
359,25255400.483753666,0.0
360,25255400.483753666,0.0
361,25255400.483753666,0.0
362,25255400.483753666,0.0
363,25255400.483753666,0.0
364,25255400.483753666,0.0
365,25255400.483753666,0.0
366,25255400.483753666,0.0
367,25255400.483753666,0.0
368,25255400.483753666,0.0
369,25255400.483753666,0.0
370,25255400.483753666,0.0
371,25255400.483753666,0.0
372,25255400.483753666,0.0
373,25255400.483753666,0.0
374,25255400.483753666,0.0
375,25255400.483753666,0.0
376,25255400.483753666,0.0
377,25255400.483753666,0.0
378,25255400.483753666,0.0
379,25255400.483753666,0.0
380,25255400.483753666,0.0
381,25255400.483753666,0.0
382,25255400.483753666,0.0
383,25255400.483753666,0.0
384,25255400.483753666,0.0
385,25255400.483753666,0.0
386,25255400.483753666,0.0
387,25255400.483753666,0.0
388,25255400.483753666,0.0
389,25255400.483753666,0.0
390,25255400.483753666,0.0
391,25255400.483753666,0.0
392,25255400.483753666,0.0
393,25255400.483753666,0.0
394,25255400.483753666,0.0
395,25255400.483753666,0.0
396,25255400.483753666,0.0
397,25255400.483753666,0.0
398,25255400.483753666,0.0
399,25255400.483753666,0.0
400,25255400.483753666,0.0
401,25255400.483753666,0.0
402,25255400.483753666,0.0
403,25255400.483753666,0.0
404,25255400.483753666,0.0
405,25255400.483753666,0.0
406,25255400.483753666,0.0
407,25255400.483753666,0.0
408,25255400.483753666,0.0
409,25255400.483753666,0.0
410,25255400.483753666,0.0
411,25255400.483753666,0.0
412,25255400.483753666,0.0
413,25255400.483753666,0.0
414,25255400.483753666,0.0
415,25255400.483753666,0.0
416,25255400.483753666,0.0
417,25255400.483753666,0.0
418,25255400.483753666,0.0
419,25255400.483753666,0.0
420,25255400.483753666,0.0
421,25255400.483753666,0.0
422,25255400.483753666,0.0
423,25255400.483753666,0.0
424,25255400.483753666,0.0
425,25255400.483753666,0.0
426,25255400.483753666,0.0
427,25255400.483753666,0.0
428,25255400.483753666,0.0
429,25255400.483753666,0.0
430,25255400.483753666,0.0
431,25255400.483753666,0.0
432,25255400.483753666,0.0
433,25255400.483753666,0.0
434,25255400.483753666,0.0
435,25255400.483753666,0.0
436,25255400.483753666,0.0
437,25255400.483753666,0.0
438,25255400.483753666,0.0
439,25255400.483753666,0.0
440,25255400.483753666,0.0
441,25255400.483753666,0.0
442,25255400.483753666,0.0
443,25255400.483753666,0.0
444,25255400.483753666,0.0
445,25255400.483753666,0.0
446,25255400.483753666,0.0
447,25255400.483753666,0.0
448,25255400.483753666,0.0
449,25255400.483753666,0.0
450,25255400.483753666,0.0
451,25255400.483753666,0.0
452,25255400.483753666,0.0
453,25255400.483753666,0.0
454,25255400.483753666,0.0
455,25255400.483753666,0.0
456,25255400.483753666,0.0
457,25255400.483753666,0.0
458,25255400.483753666,0.0
459,25255400.483753666,0.0
460,25255400.483753666,0.0
461,25255400.483753666,0.0
462,25255400.483753666,0.0
463,25255400.483753666,0.0
464,25255400.483753666,0.0
465,25255400.483753666,0.0
466,25255400.483753666,0.0
467,25255400.483753666,0.0
468,25255400.483753666,0.0
469,25255400.483753666,0.0
470,25255400.483753666,0.0
471,25255400.483753666,0.0
472,25255400.483753666,0.0
473,25255400.483753666,0.0
474,25255400.483753666,0.0
475,23441066.21924159,0.0
476,23441066.21924159,0.0
477,23441066.21924159,0.0
478,23441066.21924159,0.0
479,23441066.21924159,0.0
480,23441066.21924159,0.0
481,23441066.21924159,0.0
482,23441066.21924159,0.0
483,23441066.21924159,0.0
484,23441066.21924159,0.0
485,23441066.21924159,0.0
486,23441066.21924159,0.0
487,23441066.21924159,0.0
488,23441066.21924159,0.0
489,23441066.21924159,0.0
490,23441066.21924159,0.0
491,23441066.21924159,0.0
