fps,Fitness,Exploitation_Rate
0,12400975738.223713,0.19318026
1,12400975738.223713,0.19318026
2,12400975738.223713,0.19318026
3,12400975738.223713,0.19318026
4,12400975738.223713,0.19318026
5,12400975738.223713,0.19318026
6,12400975738.223713,0.19318026
7,12400975738.223713,0.19318026
8,7373872397.621039,0.19318026
9,7373872397.621039,0.19318026
10,7373872397.621039,0.19318026
11,7373872397.621039,0.19318026
12,7373872397.621039,0.19318026
13,7373872397.621039,0.19318026
14,7373872397.621039,0.19318026
15,7373872397.621039,0.19318026
16,7373872397.621039,0.19318026
17,7373872397.621039,0.19318026
18,7373872397.621039,0.19318026
19,7373872397.621039,0.19318026
20,7373872397.621039,0.19318026
21,7373872397.621039,0.19318026
22,7373872397.621039,0.19318026
23,7373872397.621039,0.19318026
24,7373872397.621039,0.19318026
25,7373872397.621039,0.19318026
26,7373872397.621039,0.19318026
27,7373872397.621039,0.19318026
28,7373872397.621039,0.19318026
29,7373872397.621039,0.19318026
30,7373872397.621039,0.19318026
31,7373872397.621039,0.19318026
32,7373872397.621039,0.19318026
33,7373872397.621039,0.19318026
34,7373872397.621039,0.19318026
35,7373872397.621039,0.19318026
36,7373872397.621039,0.19318026
37,7373872397.621039,0.19318026
38,7373872397.621039,0.19318026
39,7373872397.621039,0.19318026
40,7373872397.621039,0.19318026
41,7373872397.621039,0.19318026
42,7373872397.621039,0.19318026
43,7373872397.621039,0.19318026
44,7373872397.621039,0.19318026
45,7373872397.621039,0.19318026
46,7373872397.621039,0.19318026
47,7373872397.621039,0.19318026
48,7373872397.621039,0.19318026
49,7373872397.621039,0.19318026
50,7373872397.621039,0.24437182
51,7373872397.621039,0.24437182
52,7373872397.621039,0.24437182
53,7373872397.621039,0.24437182
54,7373872397.621039,0.24437182
55,7373872397.621039,0.24437182
56,7373872397.621039,0.24437182
57,7373872397.621039,0.24437182
58,7373872397.621039,0.24437182
59,7373872397.621039,0.24437182
60,7373872397.621039,0.24437182
61,7373872397.621039,0.24437182
62,7373872397.621039,0.24437182
63,7373872397.621039,0.24437182
64,7373872397.621039,0.24437182
65,7373872397.621039,0.24437182
66,7373872397.621039,0.24437182
67,7373872397.621039,0.24437182
68,7373872397.621039,0.24437182
69,7373872397.621039,0.24437182
70,7373872397.621039,0.24437182
71,7373872397.621039,0.24437182
72,7373872397.621039,0.24437182
73,7373872397.621039,0.24437182
74,7373872397.621039,0.24437182
75,7373872397.621039,0.24437182
76,7373872397.621039,0.24437182
77,7373872397.621039,0.24437182
78,7373872397.621039,0.24437182
79,7373872397.621039,0.24437182
80,7373872397.621039,0.24437182
81,7373872397.621039,0.24437182
82,7373872397.621039,0.24437182
83,7373872397.621039,0.24437182
84,7373872397.621039,0.24437182
85,7373872397.621039,0.24437182
86,7373872397.621039,0.24437182
87,7373872397.621039,0.24437182
88,7373872397.621039,0.24437182
89,7373872397.621039,0.24437182
90,7373872397.621039,0.24437182
91,7373872397.621039,0.24437182
92,7373872397.621039,0.24437182
93,7373872397.621039,0.24437182
94,7373872397.621039,0.24437182
95,7373872397.621039,0.24437182
96,7373872397.621039,0.24437182
97,7373872397.621039,0.24437182
98,7373872397.621039,0.24437182
99,7373872397.621039,0.24437182
100,7373872397.621039,0.21465285
101,7373872397.621039,0.21465285
102,7373872397.621039,0.21465285
103,7373872397.621039,0.21465285
104,7373872397.621039,0.21465285
105,7373872397.621039,0.21465285
106,7373872397.621039,0.21465285
107,7373872397.621039,0.21465285
108,7373872397.621039,0.21465285
109,7373872397.621039,0.21465285
110,7373872397.621039,0.21465285
111,7373872397.621039,0.21465285
112,7373872397.621039,0.21465285
113,7373872397.621039,0.21465285
114,7373872397.621039,0.21465285
115,7373872397.621039,0.21465285
116,7373872397.621039,0.21465285
117,7373872397.621039,0.21465285
118,7373872397.621039,0.21465285
119,7373872397.621039,0.21465285
120,7373872397.621039,0.21465285
121,7373872397.621039,0.21465285
122,7373872397.621039,0.21465285
123,7373872397.621039,0.21465285
124,7373872397.621039,0.21465285
125,7373872397.621039,0.21465285
126,7373872397.621039,0.21465285
127,7373872397.621039,0.21465285
128,7373872397.621039,0.21465285
129,7373872397.621039,0.21465285
130,7373872397.621039,0.21465285
131,7373872397.621039,0.21465285
132,7373872397.621039,0.21465285
133,7373872397.621039,0.21465285
134,7373872397.621039,0.21465285
135,7373872397.621039,0.21465285
136,7373872397.621039,0.21465285
137,7373872397.621039,0.21465285
138,7373872397.621039,0.21465285
139,7373872397.621039,0.21465285
140,7373872397.621039,0.21465285
141,7373872397.621039,0.21465285
142,7373872397.621039,0.21465285
143,7373872397.621039,0.21465285
144,7373872397.621039,0.21465285
145,7373872397.621039,0.21465285
146,7373872397.621039,0.21465285
147,7373872397.621039,0.21465285
148,7373872397.621039,0.21465285
149,7373872397.621039,0.21465285
150,7373872397.621039,0.08236754
151,7373872397.621039,0.08236754
152,7373872397.621039,0.08236754
153,7373872397.621039,0.08236754
154,7373872397.621039,0.08236754
155,7373872397.621039,0.08236754
156,7373872397.621039,0.08236754
157,7373872397.621039,0.08236754
158,7373872397.621039,0.08236754
159,7373872397.621039,0.08236754
160,7373872397.621039,0.08236754
161,7373872397.621039,0.08236754
162,7373872397.621039,0.08236754
163,7373872397.621039,0.08236754
164,7373872397.621039,0.08236754
165,7373872397.621039,0.08236754
166,7373872397.621039,0.08236754
167,7373872397.621039,0.08236754
168,7373872397.621039,0.08236754
169,7373872397.621039,0.08236754
170,7373872397.621039,0.08236754
171,7373872397.621039,0.08236754
172,7373872397.621039,0.08236754
173,7373872397.621039,0.08236754
174,7373872397.621039,0.08236754
175,7373872397.621039,0.08236754
176,7373872397.621039,0.08236754
177,7373872397.621039,0.08236754
178,7373872397.621039,0.08236754
179,7373872397.621039,0.08236754
180,5210886925.543901,0.08236754
181,5210886925.543901,0.08236754
182,5210886925.543901,0.08236754
183,5210886925.543901,0.08236754
184,5210886925.543901,0.08236754
185,5210886925.543901,0.08236754
186,5210886925.543901,0.08236754
187,5210886925.543901,0.08236754
188,5210886925.543901,0.08236754
189,5210886925.543901,0.08236754
190,5210886925.543901,0.08236754
191,5210886925.543901,0.08236754
192,5210886925.543901,0.08236754
193,5210886925.543901,0.08236754
194,5210886925.543901,0.08236754
195,5210886925.543901,0.08236754
196,5210886925.543901,0.08236754
197,5210886925.543901,0.08236754
198,5210886925.543901,0.08236754
199,5210886925.543901,0.08236754
200,5210886925.543901,0.25015497
201,5210886925.543901,0.25015497
202,5210886925.543901,0.25015497
203,5210886925.543901,0.25015497
204,5210886925.543901,0.25015497
205,5210886925.543901,0.25015497
206,5210886925.543901,0.25015497
207,5210886925.543901,0.25015497
208,5210886925.543901,0.25015497
209,5210886925.543901,0.25015497
210,5210886925.543901,0.25015497
211,5210886925.543901,0.25015497
212,5210886925.543901,0.25015497
213,5210886925.543901,0.25015497
214,5210886925.543901,0.25015497
215,5210886925.543901,0.25015497
216,5210886925.543901,0.25015497
217,5210886925.543901,0.25015497
218,5210886925.543901,0.25015497
219,5210886925.543901,0.25015497
220,5210886925.543901,0.25015497
221,5210886925.543901,0.25015497
222,5210886925.543901,0.25015497
223,5210886925.543901,0.25015497
224,5210886925.543901,0.25015497
225,5210886925.543901,0.25015497
226,5210886925.543901,0.25015497
227,5210886925.543901,0.25015497
228,5210886925.543901,0.25015497
229,5210886925.543901,0.25015497
230,5210886925.543901,0.25015497
231,5210886925.543901,0.25015497
232,5210886925.543901,0.25015497
233,5210886925.543901,0.25015497
234,5210886925.543901,0.25015497
235,5210886925.543901,0.25015497
236,5210886925.543901,0.25015497
237,5210886925.543901,0.25015497
238,5210886925.543901,0.25015497
239,5210886925.543901,0.25015497
240,5210886925.543901,0.25015497
241,5210886925.543901,0.25015497
242,5210886925.543901,0.25015497
243,5210886925.543901,0.25015497
244,5210886925.543901,0.25015497
245,5210886925.543901,0.25015497
246,5210886925.543901,0.25015497
247,5210886925.543901,0.25015497
248,5210886925.543901,0.25015497
249,5210886925.543901,0.25015497
250,5210886925.543901,0.2215669
251,5210886925.543901,0.2215669
252,5210886925.543901,0.2215669
253,5210886925.543901,0.2215669
254,5210886925.543901,0.2215669
255,5210886925.543901,0.2215669
256,5210886925.543901,0.2215669
257,5210886925.543901,0.2215669
258,5210886925.543901,0.2215669
259,5210886925.543901,0.2215669
260,5210886925.543901,0.2215669
261,5210886925.543901,0.2215669
262,5210886925.543901,0.2215669
263,5210886925.543901,0.2215669
264,5210886925.543901,0.2215669
265,5210886925.543901,0.2215669
266,5210886925.543901,0.2215669
267,5210886925.543901,0.2215669
268,5210886925.543901,0.2215669
269,5210886925.543901,0.2215669
270,5210886925.543901,0.2215669
271,5210886925.543901,0.2215669
272,5210886925.543901,0.2215669
273,5210886925.543901,0.2215669
274,5210886925.543901,0.2215669
275,5210886925.543901,0.2215669
276,5210886925.543901,0.2215669
277,5210886925.543901,0.2215669
278,5210886925.543901,0.2215669
279,5210886925.543901,0.2215669
280,5210886925.543901,0.2215669
281,5210886925.543901,0.2215669
282,5210886925.543901,0.2215669
283,5210886925.543901,0.2215669
284,5210886925.543901,0.2215669
285,5210886925.543901,0.2215669
286,5210886925.543901,0.2215669
287,5210886925.543901,0.2215669
288,5210886925.543901,0.2215669
289,5210886925.543901,0.2215669
290,5210886925.543901,0.2215669
291,5210886925.543901,0.2215669
292,5210886925.543901,0.2215669
293,5210886925.543901,0.2215669
294,5210886925.543901,0.2215669
295,5053704596.654259,0.2215669
296,5053704596.654259,0.2215669
297,5053704596.654259,0.2215669
298,5053704596.654259,0.2215669
299,5053704596.654259,0.2215669
300,5053704596.654259,0.25133616
301,3813959948.7480044,0.25133616
302,3813959948.7480044,0.25133616
303,3813959948.7480044,0.25133616
304,3813959948.7480044,0.25133616
305,3813959948.7480044,0.25133616
306,3813959948.7480044,0.25133616
307,3813959948.7480044,0.25133616
308,3813959948.7480044,0.25133616
309,3813959948.7480044,0.25133616
310,3813959948.7480044,0.25133616
311,3813959948.7480044,0.25133616
312,3813959948.7480044,0.25133616
313,3813959948.7480044,0.25133616
314,3813959948.7480044,0.25133616
315,3813959948.7480044,0.25133616
316,3813959948.7480044,0.25133616
317,3813959948.7480044,0.25133616
318,3813959948.7480044,0.25133616
319,3813959948.7480044,0.25133616
320,3813959948.7480044,0.25133616
321,3813959948.7480044,0.25133616
322,3813959948.7480044,0.25133616
323,3813959948.7480044,0.25133616
324,3813959948.7480044,0.25133616
325,3813959948.7480044,0.25133616
326,3813959948.7480044,0.25133616
327,3813959948.7480044,0.25133616
328,3813959948.7480044,0.25133616
329,3813959948.7480044,0.25133616
330,3813959948.7480044,0.25133616
331,3813959948.7480044,0.25133616
332,3813959948.7480044,0.25133616
333,3813959948.7480044,0.25133616
334,3813959948.7480044,0.25133616
335,3813959948.7480044,0.25133616
336,3813959948.7480044,0.25133616
337,3813959948.7480044,0.25133616
338,3813959948.7480044,0.25133616
339,3813959948.7480044,0.25133616
340,3813959948.7480044,0.25133616
341,3813959948.7480044,0.25133616
342,3813959948.7480044,0.25133616
343,3813959948.7480044,0.25133616
344,3673689741.784354,0.25133616
345,3673689741.784354,0.25133616
346,3673689741.784354,0.25133616
347,3673689741.784354,0.25133616
348,3673689741.784354,0.25133616
349,3673689741.784354,0.25133616
350,3673689741.784354,0.25495672
351,3673689741.784354,0.25495672
352,3673689741.784354,0.25495672
353,3673689741.784354,0.25495672
354,3673689741.784354,0.25495672
355,3673689741.784354,0.25495672
356,3673689741.784354,0.25495672
357,3673689741.784354,0.25495672
358,3673689741.784354,0.25495672
359,3673689741.784354,0.25495672
360,3673689741.784354,0.25495672
361,3673689741.784354,0.25495672
362,3673689741.784354,0.25495672
363,3673689741.784354,0.25495672
364,3673689741.784354,0.25495672
365,3673689741.784354,0.25495672
366,3673689741.784354,0.25495672
367,3673689741.784354,0.25495672
368,3673689741.784354,0.25495672
369,3673689741.784354,0.25495672
370,3673689741.784354,0.25495672
371,3673689741.784354,0.25495672
372,3673689741.784354,0.25495672
373,3673689741.784354,0.25495672
374,3673689741.784354,0.25495672
375,3673689741.784354,0.25495672
376,3673689741.784354,0.25495672
377,3673689741.784354,0.25495672
378,3673689741.784354,0.25495672
379,3673689741.784354,0.25495672
380,3673689741.784354,0.25495672
381,3673689741.784354,0.25495672
382,3673689741.784354,0.25495672
383,3673689741.784354,0.25495672
384,3673689741.784354,0.25495672
385,3673689741.784354,0.25495672
386,3673689741.784354,0.25495672
387,3673689741.784354,0.25495672
388,3673689741.784354,0.25495672
389,3673689741.784354,0.25495672
390,3673689741.784354,0.25495672
391,3673689741.784354,0.25495672
392,3673689741.784354,0.25495672
393,3673689741.784354,0.25495672
394,3673689741.784354,0.25495672
395,3673689741.784354,0.25495672
396,3673689741.784354,0.25495672
397,3673689741.784354,0.25495672
398,3673689741.784354,0.25495672
399,3673689741.784354,0.25495672
400,3354115940.515002,0.2278876
401,3354115940.515002,0.2278876
402,3354115940.515002,0.2278876
403,3354115940.515002,0.2278876
404,3354115940.515002,0.2278876
405,3354115940.515002,0.2278876
406,3354115940.515002,0.2278876
407,3354115940.515002,0.2278876
408,3354115940.515002,0.2278876
409,3354115940.515002,0.2278876
410,3354115940.515002,0.2278876
411,3354115940.515002,0.2278876
412,3354115940.515002,0.2278876
413,3354115940.515002,0.2278876
414,3354115940.515002,0.2278876
415,3354115940.515002,0.2278876
416,3354115940.515002,0.2278876
417,3354115940.515002,0.2278876
418,3354115940.515002,0.2278876
419,3354115940.515002,0.2278876
420,3354115940.515002,0.2278876
421,3354115940.515002,0.2278876
422,3354115940.515002,0.2278876
423,3354115940.515002,0.2278876
424,3354115940.515002,0.2278876
425,3354115940.515002,0.2278876
426,3354115940.515002,0.2278876
427,3354115940.515002,0.2278876
428,3354115940.515002,0.2278876
429,3354115940.515002,0.2278876
430,3354115940.515002,0.2278876
431,3354115940.515002,0.2278876
432,3354115940.515002,0.2278876
433,3354115940.515002,0.2278876
434,3354115940.515002,0.2278876
435,3354115940.515002,0.2278876
436,3354115940.515002,0.2278876
437,3354115940.515002,0.2278876
438,3354115940.515002,0.2278876
439,3354115940.515002,0.2278876
440,3354115940.515002,0.2278876
441,3354115940.515002,0.2278876
442,3354115940.515002,0.2278876
443,3354115940.515002,0.2278876
444,3354115940.515002,0.2278876
445,3354115940.515002,0.2278876
446,3354115940.515002,0.2278876
447,3354115940.515002,0.2278876
448,3354115940.515002,0.2278876
449,3354115940.515002,0.2278876
450,3354115940.515002,0.25882643
451,3354115940.515002,0.25882643
452,3354115940.515002,0.25882643
453,3354115940.515002,0.25882643
454,3354115940.515002,0.25882643
455,3354115940.515002,0.25882643
456,3354115940.515002,0.25882643
457,3354115940.515002,0.25882643
458,3354115940.515002,0.25882643
459,3354115940.515002,0.25882643
460,3354115940.515002,0.25882643
461,3354115940.515002,0.25882643
462,3354115940.515002,0.25882643
463,3354115940.515002,0.25882643
464,3354115940.515002,0.25882643
465,3354115940.515002,0.25882643
466,3354115940.515002,0.25882643
467,3354115940.515002,0.25882643
468,3354115940.515002,0.25882643
469,3354115940.515002,0.25882643
470,3354115940.515002,0.25882643
471,3354115940.515002,0.25882643
472,3354115940.515002,0.25882643
473,3354115940.515002,0.25882643
474,3354115940.515002,0.25882643
475,3354115940.515002,0.25882643
476,3354115940.515002,0.25882643
477,3354115940.515002,0.25882643
478,3354115940.515002,0.25882643
479,3354115940.515002,0.25882643
480,3354115940.515002,0.25882643
481,3354115940.515002,0.25882643
482,3354115940.515002,0.25882643
483,3354115940.515002,0.25882643
484,3354115940.515002,0.25882643
485,3354115940.515002,0.25882643
486,3354115940.515002,0.25882643
487,3354115940.515002,0.25882643
488,3354115940.515002,0.25882643
489,3354115940.515002,0.25882643
490,3354115940.515002,0.25882643
491,3354115940.515002,0.25882643
492,3354115940.515002,0.25882643
493,3354115940.515002,0.25882643
494,3354115940.515002,0.25882643
495,3354115940.515002,0.25882643
496,3354115940.515002,0.25882643
497,3354115940.515002,0.25882643
498,3354115940.515002,0.25882643
499,3354115940.515002,0.25882643
500,3354115940.515002,0.23150603
501,3269668607.383424,0.23150603
502,3269668607.383424,0.23150603
503,3269668607.383424,0.23150603
504,3269668607.383424,0.23150603
505,3269668607.383424,0.23150603
506,3269668607.383424,0.23150603
507,3269668607.383424,0.23150603
508,3028735723.9710746,0.23150603
509,3028735723.9710746,0.23150603
510,3028735723.9710746,0.23150603
511,3028735723.9710746,0.23150603
512,3028735723.9710746,0.23150603
513,3028735723.9710746,0.23150603
514,3028735723.9710746,0.23150603
515,3028735723.9710746,0.23150603
516,3028735723.9710746,0.23150603
