fps,Fitness,Exploitation_Rate
0,7990111884.64263,0.03538411
1,7990111884.64263,0.03538411
2,7990111884.64263,0.03538411
3,7990111884.64263,0.03538411
4,7990111884.64263,0.03538411
5,7990111884.64263,0.03538411
6,7990111884.64263,0.03538411
7,7990111884.64263,0.03538411
8,7990111884.64263,0.03538411
9,7990111884.64263,0.03538411
10,7990111884.64263,0.03538411
11,7990111884.64263,0.03538411
12,7990111884.64263,0.03538411
13,7990111884.64263,0.03538411
14,7990111884.64263,0.03538411
15,7990111884.64263,0.03538411
16,7990111884.64263,0.03538411
17,7990111884.64263,0.03538411
18,7990111884.64263,0.03538411
19,7990111884.64263,0.03538411
20,7990111884.64263,0.03538411
21,7990111884.64263,0.03538411
22,7990111884.64263,0.03538411
23,7990111884.64263,0.03538411
24,7990111884.64263,0.03538411
25,7990111884.64263,0.03538411
26,7990111884.64263,0.03538411
27,7990111884.64263,0.03538411
28,7990111884.64263,0.03538411
29,7990111884.64263,0.03538411
30,7990111884.64263,0.03538411
31,7990111884.64263,0.03538411
32,7990111884.64263,0.03538411
33,7990111884.64263,0.03538411
34,7990111884.64263,0.03538411
35,7990111884.64263,0.03538411
36,7990111884.64263,0.03538411
37,7990111884.64263,0.03538411
38,7990111884.64263,0.03538411
39,7990111884.64263,0.03538411
40,7990111884.64263,0.03538411
41,7990111884.64263,0.03538411
42,7990111884.64263,0.03538411
43,7990111884.64263,0.03538411
44,7990111884.64263,0.03538411
45,7990111884.64263,0.03538411
46,7990111884.64263,0.03538411
47,7990111884.64263,0.03538411
48,7990111884.64263,0.03538411
49,7990111884.64263,0.03538411
50,7990111884.64263,0.03538411
51,7990111884.64263,0.03538411
52,7990111884.64263,0.03538411
53,7990111884.64263,0.03538411
54,7990111884.64263,0.03538411
55,7990111884.64263,0.03538411
56,7990111884.64263,0.03538411
57,7990111884.64263,0.03538411
58,7990111884.64263,0.03538411
59,7990111884.64263,0.03538411
60,7990111884.64263,0.03538411
61,7990111884.64263,0.03538411
62,7990111884.64263,0.03538411
63,7990111884.64263,0.03538411
64,7990111884.64263,0.03538411
65,7990111884.64263,0.03538411
66,7990111884.64263,0.03538411
67,7990111884.64263,0.03538411
68,7990111884.64263,0.03538411
69,7990111884.64263,0.03538411
70,7990111884.64263,0.03538411
71,7990111884.64263,0.03538411
72,7990111884.64263,0.03538411
73,7990111884.64263,0.03538411
74,7990111884.64263,0.03538411
75,7990111884.64263,0.03538411
76,7990111884.64263,0.03538411
77,7990111884.64263,0.03538411
78,7990111884.64263,0.03538411
79,7990111884.64263,0.03538411
80,7990111884.64263,0.03538411
81,7990111884.64263,0.03538411
82,7990111884.64263,0.03538411
83,7990111884.64263,0.03538411
84,7990111884.64263,0.03538411
85,7990111884.64263,0.03538411
86,7990111884.64263,0.03538411
87,7990111884.64263,0.03538411
88,7990111884.64263,0.03538411
89,7990111884.64263,0.03538411
90,7990111884.64263,0.03538411
91,7990111884.64263,0.03538411
92,7990111884.64263,0.03538411
93,7990111884.64263,0.03538411
94,7990111884.64263,0.03538411
95,7990111884.64263,0.03538411
96,7990111884.64263,0.03538411
97,7990111884.64263,0.03538411
98,7990111884.64263,0.03538411
99,7990111884.64263,0.03538411
100,7990111884.64263,0.032470684
101,7990111884.64263,0.032470684
102,7990111884.64263,0.032470684
103,7990111884.64263,0.032470684
104,7990111884.64263,0.032470684
105,7990111884.64263,0.032470684
106,7990111884.64263,0.032470684
107,7990111884.64263,0.032470684
108,7990111884.64263,0.032470684
109,7990111884.64263,0.032470684
110,7990111884.64263,0.032470684
111,7990111884.64263,0.032470684
112,7990111884.64263,0.032470684
113,7990111884.64263,0.032470684
114,7990111884.64263,0.032470684
115,7990111884.64263,0.032470684
116,7990111884.64263,0.032470684
117,7990111884.64263,0.032470684
118,7990111884.64263,0.032470684
119,7990111884.64263,0.032470684
120,7990111884.64263,0.032470684
121,7990111884.64263,0.032470684
122,7990111884.64263,0.032470684
123,7990111884.64263,0.032470684
124,7990111884.64263,0.032470684
125,7990111884.64263,0.032470684
126,7990111884.64263,0.032470684
127,7990111884.64263,0.032470684
128,7990111884.64263,0.032470684
129,7990111884.64263,0.032470684
130,7990111884.64263,0.032470684
131,7990111884.64263,0.032470684
132,7990111884.64263,0.032470684
133,7990111884.64263,0.032470684
134,7990111884.64263,0.032470684
135,7990111884.64263,0.032470684
136,7990111884.64263,0.032470684
137,7990111884.64263,0.032470684
138,7990111884.64263,0.032470684
139,7990111884.64263,0.032470684
140,7990111884.64263,0.032470684
141,7990111884.64263,0.032470684
142,7990111884.64263,0.032470684
143,7990111884.64263,0.032470684
144,7990111884.64263,0.032470684
145,7990111884.64263,0.032470684
146,7990111884.64263,0.032470684
147,7990111884.64263,0.032470684
148,7990111884.64263,0.032470684
149,7990111884.64263,0.032470684
150,7990111884.64263,0.032470684
151,7990111884.64263,0.032470684
152,7990111884.64263,0.032470684
153,7990111884.64263,0.032470684
154,7990111884.64263,0.032470684
155,7990111884.64263,0.032470684
156,7990111884.64263,0.032470684
157,7990111884.64263,0.032470684
158,7990111884.64263,0.032470684
159,7990111884.64263,0.032470684
160,7990111884.64263,0.032470684
161,7990111884.64263,0.032470684
162,7990111884.64263,0.032470684
163,7990111884.64263,0.032470684
164,7990111884.64263,0.032470684
165,7990111884.64263,0.032470684
166,7990111884.64263,0.032470684
167,7990111884.64263,0.032470684
168,7990111884.64263,0.032470684
169,7990111884.64263,0.032470684
170,7990111884.64263,0.032470684
171,7990111884.64263,0.032470684
172,7990111884.64263,0.032470684
173,7990111884.64263,0.032470684
174,7990111884.64263,0.032470684
175,7990111884.64263,0.032470684
176,7990111884.64263,0.032470684
177,7990111884.64263,0.032470684
178,7990111884.64263,0.032470684
179,7990111884.64263,0.032470684
180,7990111884.64263,0.032470684
181,7990111884.64263,0.032470684
